0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
9,104,7,517,7,9,39,33,48,838,6,40,381,517,8,456,334,12,334,25,524,94,15,602,219,285,153,336,7,20,11,833,94,137,1320,94,518,46,63,112,1006,3107,228,228,59,228,79,14,52,18,14,25,137,284,975,842,2046,142,10,11,142,8,23,78,78,78,149,7,244,36,11,1163,294,279,190,397,861,129,380,34,15,92,357,46,289,166,14,91,46,25,13,263,1279,573,658,361,378,164,15,606
5120,152,340,5,142,5121,142,142,6322,479,3457,482,8752,94,142,16,407,2,2898,983,204,83,3466,500,2,1264,58,46,24,8753,914,2899,1390,259,1035,193,6323,112,51,143,14,3158,46,509,204,36,164,255,359,1933,198,100,42,39,1075,2900,1511,1511,4,6324,78,8754,16,192,111,591,326,37,12,688,1175,541,2257,266,8755,1641,8756,8757,8758,8759,8760,6325,2238,1251,116,241,248,205,890,925,565,2901,21,17,6,80,15,20,33,507
616,216,11,6353,256,44,452,6,2053,44,20,1778,2032,91,114,616,216,169,292,61,104,5144,103,282,860,828,172,237,46,8873,8,872,73,11,315,3,574,3884,322,224,3885,3,140,191,34,371,764,3168,1774,8874,8875,746,8876,3876,2912,117,2387,4371,4372,1345,3479,94,92,6354,1392,8,3480,3479,615,26,108,419,1085,3169,12,2877,21,17,116,546,33,1714,9,636,427,848,22,319,6355,8877,464,1659,1659,253,21,17,94,8878,8879,6354
1182,882,105,107,1859,1611,491,169,29,164,164,37,1204,270,425,412,680,8885,2703,6,12,240,378,211,5153,126,741,13,2505,600,5154,6366,5155,1924,533,405,977,128,537,1431,650,149,5155,1924,355,188,271,6367,5156,1359,5157,505,728,2842,3887,3485,739,153,4374,408,27,600,6368,1246,2054,19,557,13,46,77,4,6369,3486,675,20,1098,1350,83,117,7,2265,8886,18,1942,8887,12,63,464,5158,36,1761,8888,1307,486,8889,3888,459,37,44,426
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,561,87,145,27,1661,7,2,238,78,1393,376,496,3889,45,5159,90,1513,132,90,27,162,332,2544,128,72,140,776,8890,134,61,2055
365,8,1036,274,93,6,375,1221,562,1245,520,67,54,28,223,8892,67,70,40,3837,5,137,52,134,22,140,290,36,39,19,8893,1146,16,1006,381,1432,7,319,57,6,122,6372,1778,2547,2158,96,69,119,2548,188,45,79,101,1099,62,688,24,315,30,32,2,264,645,1057,11,280,221,319,715,32,126,4375,52,20,93,56,32,105,356,3891,1225,147,3891,2653,420,4368,83,212,2394,1938,319,715,2,30,31,319,715,2,2,715
12,73,162,4,63,89,148,19,199,309,62,97,71,289,51,731,62,22,104,142,139,167,634,479,934,1085,11,490,4,59,9,216,185,11,114,91,9,4,63,35,91,2056,84,44,84,62,3489,169,60,3,51,1168,163,209,437,28,464,26,666,101,158,427,255,3,10,121,28,103,5165,338,11,1773,5166,11,902,636,60,3896,5167,219,139,1860,1010,2916,3897,61,262,2,41,97,35,374,1388,3896,1452,877,62,1144,2396,14
3,95,21,17,20,1305,3113,29,181,13,2057,6381,255,817,506,317,3,460,377,158,2,313,255,36,590,508,215,180,44,202,190,45,229,37,24,211,172,9,26,33,35,48,2,215,9,82,26,3,9,1559,1559,7,2,972,88,429,211,70,263,955,796,6382,288,44,279,55,1123,2549,410,2,65,69,237,237,8904,1394,98,18,54,210,99,2399,283,859,3491,462,337,19,626,20,407,229,2551,34,556,2058,78,5,139,595
14,2934,2718,57,8,19,307,198,1384,2,1223,60,667,266,519,2280,392,2393,4408,29,766,145,24,3903,9001,756,220,2,5208,3935,167,2935,9002,233,46,195,34,1036,739,9003,3189,24,149,249,132,34,24,802,761,978,649,519,3190,233,46,195,34,3189,1707,686,195,57,195,108,819,252,1561,108,1168,24,315,227,2173,14,10,31,22,945,865,7,132,210,99,126,134,684,20,1830,5209,123,1233,1322,897,1521,218,304,377,81,2529,9004
470,718,3,323,32,612,1951,5,9,32,175,1204,3872,2948,264,19,718,67,15,253,21,17,85,7,1264,905,29,2174,173,3523,31,42,8,2,1569,97,83,31,3524,247,375,1306,131,1306,871,22,453,1099,1196,5239,1652,91,5240,1652,91,86,1306,1852,98,1196,249,15,86,75,11,1380,5240,133,9071,980,47,4414,115,34,54,30,15,709,2048,113,96,350,365,175,1204,1254,35,161,598,46,287,9072,1790,323,3470,21,17,9073,337,6496
153,1482,1054,1223,3525,222,96,27,57,16,257,2,914,8,23,10,2841,2660,903,4438,1600,1167,526,1096,172,322,243,1116,5,1667,10,74,1007,444,601,47,14,3438,122,1730,74,82,23,461,2,387,9075,28,2,645,5241,461,4439,461,49,936,53,4440,2,914,2,2179,492,1554,1092,76,849,9,2729,171,295,7,2573,9076,129,115,793,57,16,37,128,71,37,2401,9077,4,2,210,7,461,9078,42,2882,1346,42,1096,90,118,57,277
2,2351,101,340,95,2292,4,524,9092,9093,3,9094,3209,391,26,482,1234,4446,452,949,6,1366,9095,37,9096,2418,2,65,40,1943,2343,515,427,484,67,2343,49,788,4447,244,210,122,75,3210,244,7,6503,269,1332,5,273,4448,2731,1165,6504,6505,1102,358,700,463,1787,109,557,1522,344,1076,244,362,2575,788,1103,1118,2359,5,3,37,172,561,1377,61,39,28,2419,1795,538,2654,2576,329,22,9097,610,853,740,301,394,1341,2706,3532,3211,598
4,119,6506,860,26,937,73,8,456,59,165,221,8,1079,1318,749,493,3852,366,2420,84,14,1693,139,595,1130,972,78,5,8,23,8,38,18,456,60,90,211,102,868,2,390,51,203,11,9103,334,93,171,179,9104,428,713,251,1483,141,308,787,751,144,50,27,5033,329,4450,1350,408,618,674,139,972,595,489,857,3112,2864,9105,11,55,6,122,860,25,6507,3214,78,2952,535,73,181,672,2,12,9106,207,8,3535,456,2,69
309,323,8,24,8,89,62,669,93,82,1164,3168,5251,5,402,190,142,608,124,79,109,3,30,87,329,3215,4,118,177,53,25,19,155,2,371,1209,2349,55,9112,591,55,74,4,69,155,21,17,187,3925,128,69,155,24,155,21,17,10,24,55,1536,24,55,1671,74,145,27,1152,248,28,55,372,1027,24,55,627,68,28,183,820,1027,24,155,24,55,41,3,9,68,131,24,55,84,3,907,1027,24,55,58,1214,163
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3,761,3,10,140,2181,252,24
10,761,28,58,420,1429,5257,2,1858,108,267,94,987,1961,2035,29,49,205,29,632,15,9,15,230,102,89,202,7,230,27,416,1797,250,2955,1412,85,3,9,5258,5,70,12,2,645,357,12,551,215,9129,9130,3540,21,17,271,97,1083,97,1027,711,3,109,582,229,237,64,58,1607,4456,122,10,156,1055,194,80,79,14,116,3,176,160,14,2652,1561,68,55,7,1011,1481,1481,170,3,460,306,16,175,6509,12,9,9131,6516
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,73,1193,170,369,63,1499,1297,466,29,742,1798,303,1284,233,363,220,614,5002,100,409,322,69,48,483,8,2,9132,206,614,297,451,15,23,154,138,16,24,45,483,1798,303,69,256,127,111,9,6517,27,111,8,1092,277,13,6,19
1393,588,67,174,9,757,1484,780,148,341,39,376,51,695,995,52,1091,49,901,58,271,310,2385,519,147,695,9153,3545,579,155,213,995,58,173,155,336,365,24,14,2166,255,86,171,308,86,65,2924,49,718,830,609,264,1848,3,4,26,4463,56,419,14,837,152,3,20,2296,205,33,54,533,48,442,129,1507,205,3223,1673,9154,318,5130,1425,31,273,1059,169,533,4,1763,270,1402,76,2956,205,72,352,1800,533,311,837,16,2958
770,137,134,808,269,3,9,255,269,979,2183,6,19,1141,1521,403,3968,25,8,19,141,129,36,524,3,4,276,625,919,4470,11,24,112,11,284,8,285,56,34,1003,25,106,8,19,4,247,192,1414,253,1215,2384,25,8,19,190,380,125,9165,818,3095,3221,603,66,4,190,117,30,146,804,458,582,73,75,5,12,224,2150,66,4,1202,12,133,5,2,73,11,219,749,299,106,749,792,67,196,43,5271,223,416,321,94
29,134,47,187,8,240,191,1755,126,179,362,118,884,59,114,26,178,1416,1258,689,533,205,173,64,213,954,1183,999,355,186,1841,218,2962,1378,3,138,200,202,5108,135,14,29,122,1730,2,22,179,1116,438,264,1220,24,226,312,5274,4453,1025,3,9,223,1141,126,468,8,2427,177,3553,107,5275,7,230,416,1735,673,39,187,126,225,74,115,4471,1966,78,5,10,74,41,1663,396,63,14,5276,244,106,275,353,100,2963,33,743
25,1803,21,17,248,483,226,2144,47,200,2070,993,1172,52,87,632,3,10,3,1175,1969,71,2,1041,201,4475,403,1486,9171,678,10,2,22,34,28,385,57,35,2428,19,192,26,2301,107,478,336,9,398,24,315,136,57,85,1123,249,82,37,26,171,2,22,58,81,38,18,521,626,6,20,674,9172,1882,57,26,2070,120,997,14,181,398,9173,1505,1385,1385,278,685,26,9,2070,59,467,424,1133,311,4473,21,17,6544,584,2431
316,79,14,498,52,9181,764,848,6,616,14,774,24,315,83,4,341,334,50,380,883,505,1130,74,109,59,194,27,23,521,50,72,109,291,7,677,133,219,78,106,126,1755,3233,232,1792,452,1189,452,465,1804,75,194,605,78,5,70,72,36,192,1970,5,81,61,21,17,4,19,56,1382,2567,11,16,67,337,10,3969,75,61,93,15,473,1454,808,368,5,770,473,23,51,13,14,141,122,485,309,21,17,32,24,315
462,67,43,48,325,12,63,165,5010,916,780,33,5,743,415,382,3963,60,6553,33,5,75,3504,6554,1299,684,79,702,33,5,375,224,1299,263,1083,79,702,33,94,224,46,287,754,170,725,3,4,199,5,603,55,55,3897,33,15,1226,34,36,431,257,13,15,2423,431,528,2302,2742,90,399,2433,734,836,279,3,12,30,460,682,535,3221,166,2285,62,22,754,178,112,552,8,272,3557,282,4,96,653,38,80,9182,85,158
200,83,3532,500,2743,675,12,6283,617,81,56,1452,16,55,869,15,2966,599,685,218,721,9183,1222,6555,48,889,92,1941,19,259,5282,152,2586,4,119,703,17,120,110,8,24,206,5,8,447,227,342,210,99,31,227,5283,342,5188,9184,106,116,295,334,1758,1588,1345,1046,105,8,1071,2303,75,2435,6,307,8,30,2303,75,501,2967,115,752,166,1454,307,75,501,2185,4481,6,3848,140,259,447,238,81,582,4482,714,304,377,81,155
15,5,37,3420,415,3112,133,568,64,539,45,6,2710,1317,486,185,87,76,45,91,11,429,860,62,669,592,1971,1456,726,15,205,93,88,1196,2,914,2417,64,639,10,1065,631,425,205,1213,1802,153,413,106,276,42,255,6,19,141,308,5,141,727,558,1971,64,221,624,2393,570,183,126,5286,18,261,64,336,29,791,92,76,62,5287,7,55,55,113,24,205,6,15,139,25,693,276,3559,259,2672,210,3,911,6,824,1033
47,5,751,44,6,104,4492,679,100,42,303,193,121,1418,6571,857,3112,818,524,1095,378,14,92,5104,100,42,58,218,201,583,19,725,86,1567,845,197,300,255,100,42,1348,207,535,528,47,1973,15,904,19,378,14,92,56,54,2589,5023,322,63,210,99,1460,156,192,440,4493,7,137,27,6,137,304,377,81,177,187,20,1526,226,177,727,1197,28,587,7,6,28,78,735,235,64,130,20,109,30,3572,735,9,28,587,85
6,62,97,28,779,81,123,29,103,1098,81,4495,12,57,2187,12,63,225,38,109,859,18,131,2,727,131,7,95,552,312,6572,312,173,64,849,88,426,544,312,90,288,238,75,309,10,158,1134,37,145,27,497,996,779,773,113,163,42,316,1232,462,20,393,7,990,16,81,9218,459,31,3245,1113,94,2,73,162,228,5,296,317,4,60,45,145,27,3573,12,462,109,355,1923,52,550,1756,145,1465,281,626,412,438,70
4497,133,7,22,893,100,448,1250,78,3575,4498,225,1976,462,1130,74,47,5,86,13,24,88,146,238,51,103,67,46,403,6573,665,651,31,1455,74,656,2,65,1075,127,306,432,82,44,641,2722,11,117,5,8,14,6574,27,77,6575,4,5,2092,5,2385,3980,13,199,8,119,177,1138,3246,286,2125,8,876,2655,60,699,92,588,232,2048,222,96,1653,113,5,40,1656,9219,1146,181,36,2,168,31,133,286,94,637,407,82,225
26,254,3576,1938,212,421,9224,5115,6581,410,2093,5035,108,1708,2566,356,113,1071,386,6,1071,108,44,57,250,2,267,47,30,31,32,8,248,485,782,2,73,3982,2746,9225,77,23,27,33,51,71,140,11,342,847,890,7,890,7,39,308,108,136,25,108,93,2094,13,236,156,20,470,378,71,25,7,27,19,3,51,4,506,161,374,521,42,26,572,54,2591,479,52,1564,14,1015,6,20,15,1929,3,4,33,573,870,1932
83,627,41,859,208,1159,166,9226,1028,13,6,19,2,1224,12,8,4500,13,10,301,121,109,13,6,46,7,6,24,13,46,7,24,478,56,111,554,577,320,746,6582,577,320,746,6582,39,588,1523,4,196,76,6583,72,36,475,1125,84,189,405,226,231,9227,18,204,471,197,31,260,123,336,19,107,716,3,240,13,333,19,43,513,1192,1597,7,90,399,128,1568,217,12,3247,140,59,90,39,1497,7,50,3247,633,667,44
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923,16,709,101,5304,9228,28,464,118,13,6,25,8,21,17,2081,559,200,723,1347,119,34,894,147,25,8,19,1477,762,9229
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,51,124,25,1097,1944,76,89,7,762,134,138,2748,26,9230,5305,110,65,76,1310,426,91,505,1739,1677,25,1139,186,859,1179,13
9,124,1440,41,477,596,566,231,9235,28,660,20,3,375,137,452,16,709,4502,9236,4503,3577,124,6586,31,3177,5,907,3,62,669,156,632,383,1754,149,207,2,22,709,3528,86,5308,171,115,7,5308,171,52,18,3578,217,1245,623,400,41,948,4502,150,22,392,391,9,55,2536,2439,3462,2749,12,3,182,3249,82,93,89,957,2306,124,16,1706,1024,1572,734,9237,9238,53,217,286,842,3579,9239,854,464,1024,35,302,1210,82,93,836
518,57,158,27,158,158,139,67,46,523,116,785,2556,977,1010,76,21,17,144,2976,6598,261,459,1242,303,9258,59,1678,485,1018,758,8,570,80,758,141,31,937,465,155,307,112,57,16,1574,570,758,6,225,2067,284,112,79,14,33,36,144,395,1503,472,71,314,1544,50,4,844,158,27,1235,1768,1908,9259,642,1485,64,178,5,49,151,1383,79,965,116,302,158,30,36,31,129,108,564,1073,152,25,1013,122,473,9260,132,9261
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,215,9262,147,4508,1958,84,114,147,4508,1958,486,3251,6599,399,1931,3,9,989,1215,311,10,1455,74,227,3,9,989,205,857,2048,113,1210,3985,187,70,434,324,914,1575,12,30,46,9263,345,435,6,730,227,33,54,152,580,8,255,2441,1550,356,154,2593,153,198,129,3986,3,9,654,202,588,3252,8,23,82,44,1655,726,15,32,1252,28,331,30
1003,10,39,244,29,22,520,108,13,356,9265,4509,3,36,74,395,18,3,931,179,2,1594,68,82,167,1331,372,994,47,511,3,20,2156,1009,35,81,629,5313,25,1550,214,81,356,22,281,611,34,3155,154,1071,237,539,177,1138,49,1721,5314,56,80,685,9266,81,1958,12,8,210,99,8,21,17,74,395,125,3,20,36,257,1608,414,16,55,6,140,177,2310,12,9,5,15,33,182,594,126,6,35,9267,8,50,32,455
161,14,2085,6607,261,678,411,5084,3846,2,73,22,2434,2979,20,71,61,4,534,85,14,2194,152,61,15,2930,125,20,5,10,130,15,61,114,26,2,73,162,2421,409,70,269,125,185,1047,640,6605,5,4,22,2434,15,2285,43,583,9279,2,251,209,665,33,498,19,2,251,2,251,6,214,284,4,18,477,142,57,6,289,76,84,189,45,713,41,3,4,2,545,190,34,35,1010,543,26,2873,52,2751,712,61,15,808
122,382,6,85,1005,154,841,2,73,355,72,351,868,70,56,90,2556,5,114,1983,627,125,297,35,128,183,49,439,3265,128,7,760,26,627,78,13,7,67,196,68,7,1541,26,68,75,8,23,10,402,45,77,882,225,398,6,51,4,256,127,4,90,90,9318,180,28,1108,717,491,5,1185,15,842,12,57,726,15,127,31,6,15,356,1985,23,4,29,938,76,35,31,35,591,33,83,28,16,50,197,591,67,8
28,509,2,73,175,48,9,32,2,73,11,115,33,292,294,11,39,1890,120,24,44,30,15,71,66,182,1161,6,15,4,817,3,9,28,21,17,50,86,652,128,9,708,92,9,66,182,801,2,251,652,1013,719,28,43,513,1192,779,11,260,1013,11,133,113,178,67,25,9349,442,140,111,1065,669,85,3888,1065,9350,2,251,11,69,342,187,92,138,858,2,73,66,62,97,43,55,14,649,779,1479,254,75,477,4
520,3270,612,795,1159,44,5349,543,471,5277,520,406,3270,5,35,2448,545,1254,48,2,3828,229,53,147,1186,3272,15,928,2407,5350,66,3,43,9352,118,849,1407,7,491,769,223,1011,20,793,418,224,166,7,5,53,27,66,66,66,77,6,49,31,146,329,785,27,1760,94,66,8,248,184,782,82,315,9353,66,34,361,299,1427,5277,520,1843,42,9354,74,27,7,197,38,1866,4540,3497,41,1351,228,118,310,237,1054,49,197,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,502,147,127,75,210,193,93,16,141,14,67,8,117,20,10,127,96,551,11,133,93,472,349,638,219,215,31,33,240,31,59,163,21,17,215,33,80,31,19,125,1360,5,32
47,326,314,90,1149,120,207,425,88,1283,45,5351,127,277,1114,2955,73,29,9360,3947,48,2,1234,65,196,1771,679,1987,303,1591,5352,9361,7,160,961,64,230,90,27,121,9,808,106,2243,122,444,398,12,250,926,6660,783,1127,55,2099,49,574,74,986,62,2760,2760,789,1068,764,764,2596,986,49,2872,31,2583,4542,1278,305,191,986,1144,2921,371,135,1515,3102,201,3102,343,789,521,3507,90,9362,75,663,2153,44,613,158,1985,73,2600
705,282,227,74,1335,795,5355,20,1208,595,6661,3487,106,1663,2985,9366,9367,40,524,1628,1335,1765,1335,4544,59,1762,6662,570,570,124,27,335,2417,64,9368,5,40,653,1224,88,9369,9370,9371,4,219,9372,626,5,3,9,28,1098,10,31,1909,6663,1037,3602,6664,1929,5356,6,1180,40,1847,9373,4545,5,116,15,1908,136,2449,61,28,3871,41,6665,102,172,1959,74,1244,4546,2528,6,9374,9375,1935,1789,681,2,41,540,84,2231,3,4,402,3273
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9376,656,9377,6487,6666,14,37,1207,2914,190,1322,319,30,45,76,16,184,674,14,3896,37,224,29,325,5137,2,143,19,18,184,931,32,362,9378,81,124,6,217,49,6,66,184,1373,309,2192,76,124,29,276,9379,796,465,106,9380,579,37,1742,708,287,25,46,2,80,87,652,975,6667,931,32,184,9381,124,9382
622,64,336,41,33,20,457,50,426,94,33,20,95,30,114,32,2193,85,339,85,1901,67,258,99,30,2390,1043,279,508,30,2937,545,212,9385,191,104,449,311,194,5085,3847,187,8,456,32,9386,297,329,5359,59,468,275,208,4,667,8,21,17,199,31,186,526,54,1058,23,526,127,6,49,8,1103,19,32,9387,20,96,376,32,343,485,1549,48,536,1382,212,542,85,8,1887,244,85,166,1271,2937,6,8,19,57,85,359
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,12,426,6321,66,122,185,158,158,27,59,485,336,3275,582,532,7,877,45,1090,1468,281,9,1035,20,8,2411,66,3,51,255,714,3131,221,1530,1404,932,1423,505,495,72,4
86,4007,9410,28,3280,188,38,239,171,975,180,33,1179,2972,158,582,5363,2197,575,294,664,226,1039,89,1464,412,438,449,947,6671,6683,6682,397,24,1483,1606,1495,72,21,17,74,13,6678,3813,6,43,4549,1411,1850,824,1020,6672,6673,6674,1444,577,320,746,9411,130,140,49,9,25,152,8,23,8,18,139,1946,147,513,42,21,17,1114,420,55,208,6681,1273,2683,6684,4451,2440,6685,582,332,7,360,411,9412,58,2013,168,9413,3,1136,24
619,149,56,1123,365,3502,1004,150,548,3201,351,33,797,807,150,2763,6689,5365,2763,3545,519,5365,187,522,27,25,1053,9427,476,789,541,5366,1677,2839,9428,600,481,911,172,78,1356,1395,9429,1720,2573,1969,2573,723,118,13,1739,1364,1289,36,22,242,342,105,20,1447,28,2300,2264,783,783,233,123,36,311,188,76,6690,223,255,29,489,149,2146,281,519,260,56,1097,337,67,377,337,3216,178,4,54,440,5165,489,400,760,49,2451,493,517
759,41,1664,391,9,234,2,22,129,201,551,583,520,5378,150,820,2699,393,126,1014,514,118,1990,610,376,129,1041,721,108,7,43,583,520,98,55,259,722,8,529,6,15,82,1118,648,59,48,9,4,20,30,93,14,369,6711,1521,1216,284,739,1148,44,999,2960,6712,144,302,157,6,6712,103,556,2453,613,83,4,11,41,154,1209,469,2426,613,148,1785,2737,309,144,5377,5379,716,2,603,124,250,47,114,527,31,1781,1262,324
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,140,336,30,34,690,16,129,245,276,28,384,1892,7,1332,260,1092,635,207,230
12,956,528,1094,3290,1207,11,167,91,86,146,297,91,47,2126,14,1612,27,291,6362,1918,61,2154,26,72,4,144,2401,34,1829,675,2994,4018,25,729,524,653,430,6,25,8,19,20,150,13,833,7,1378,13,6,137,11,38,11,5185,19,1337,141,8,19,141,1413,67,196,3615,80,26,359,26,367,1519,129,6715,3,70,9,34,1397,155,1397,155,89,89,372,59,2154,47,450,9480,836,87,120,164,64,1397,155,169,9,510,154
